COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District,MBLR
small_yellow,482,7,3201 OCTAVIA ST,"3201 OCTAVIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0482007
small_red,453,004A,950 BAY ST,"950 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0453004A
small_red,3609,17,3232 21ST ST,"3232 21ST ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3609017
small_yellow,495,3,3127 OCTAVIA ST,"3127 OCTAVIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0495003
small_red,478,001C,2845 POLK ST,"2845 POLK ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0478001C
small_red,3614,64,1085 SOUTH VAN NESS AV,"1085 SOUTH VAN NESS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3614064
small_red,478,1,1101 FRANCISCO ST,"1101 FRANCISCO ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0478001
small_red,3628,11,1070 CHURCH ST,"1070 CHURCH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3628011
small_red,471,1,3355 OCTAVIA ST,"3355 OCTAVIA ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0471001
small_red,3610,50,540 CAPP ST,"540 CAPP ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3610050
small_yellow,499,1,1207 CHESTNUT ST,"1207 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0499001
small_red,473,013D,3210 GOUGH ST,"3210 GOUGH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2,SF0473013D
small_red,3614,65,1065 SOUTH VAN NESS AV,"1065 SOUTH VAN NESS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9,SF3614065
small_yellow,499,001B,2747 POLK ST,"2747 POLK ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0499001B
small_red,3580,5,544 CHURCH ST,"544 CHURCH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3580005
small_yellow,479,10,3040 FRANKLIN ST,"3040 FRANKLIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0479010
small_red,3582,077A,3951 17TH ST,"3951 17TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8,SF3582077A
small_yellow,482,18,1670 CHESTNUT ST,"1670 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0482018
small_yellow,474,6,1234 FRANCISCO ST,"1234 FRANCISCO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0474006
small_yellow,478,14,2950 VAN NESS AVE,"2950 VAN NESS AVE,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2,SF0478014
