COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District
small_yellow,0253,011,1050 PINE ST,"1050 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2854,001,428 BURNETT AV,"428 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0256,026,50 JOICE ST,"50 JOICE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0253,012,1060 PINE ST,"1060 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,0443A,001D,3665 FILLMORE ST,"3665 FILLMORE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,0278,012,1385 PINE ST,"1385 PINE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,3575,038,2135 MISSION ST,"2135 MISSION ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_red,0443A,021,1745 BEACH ST,"1745 BEACH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,0460A,009,1640 BAY ST,"1640 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3610,014,3140 21ST ST,"3140 21ST ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_yellow,0496,001A,3035 GOUGH ST,"3035 GOUGH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0463A,033,25 CAPRA WY,"25 CAPRA WY,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3610,054,936 SOUTH VAN NESS AV,"936 SOUTH VAN NESS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
small_yellow,0497,009F,1447 CHESTNUT ST,"1447 CHESTNUT ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0453,004,940 BAY ST,"940 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3605,073,3600 21ST ST,"3600 21ST ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0482,007,3201 OCTAVIA ST,"3201 OCTAVIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,0453,004A,950 BAY ST,"950 BAY ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",2
small_red,3609,017,3232 21ST ST,"3232 21ST ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",9
